,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
65,"Esc. Primaria 
 ""Profr. Jesús Ramírez"".",SINALOA,GUASAVE,"Calle Francisco I. Madero, entre Av. Patricio Falomir y 4, Leon Fonseca.",Educativo,200,50,"25°43'58.11""","108°20'36.55""",39,25,43,58.11,108,20,36.55,25.73280833,-108.3434861
66,"Esc. Primaria ""Inocencia Gil"".",SINALOA,GUASAVE,"Calle Adolfo López Mateos, esquina Ramón Espinoza, La Brecha",Educativo,300,75,"25°22'1.81""","108°25'26.23""",10,25,22,1.81,108,25,26.23,25.36716944,-108.4239528
67,"Esc. Primaria ""Guillermo Nelson"".",SINALOA,GUASAVE,"Calle Álvaro Obregón, entre Ángel Flores y Benito Juárez, Tamazula",Educativo,1000,250,"25°26'50.33""","108°27'14.02""",12,25,26,50.33,108,27,14.02,25.44731389,-108.4538944
68,"Cobaes No. 14 ""Ignacia Arrayales de Castro"" .",SINALOA,GUASAVE,"Carretera Bamoa-Estación Bamoa, frente a la bodega Términal, Estación Bamoa",Educativo,400,100,"25°42'4.93""","108°19'9.03""",44,25,42,4.93,108,19,9.03,25.70136944,-108.319175
69,"Esc. Secundaria ""Benito Juárez"".",SINALOA,GUASAVE,"Blvd. Adolfo López Mateos, a un costado del Auditorio, Benito Juárez (Batamote)",Educativo,600,150,"25°39'53.12""","108°37'6.76""",23,25,39,53.12,108,37,6.76,25.66475556,-108.6185444
70,"Esc. Primaria ""Venustiano Carranza"".",SINALOA,GUASAVE,"Calle 9 y Miguel Hidalgo, Comisaría de Gabriel Leyva Solano.",Educativo,1500,375,"25°39'34.00""","108°38'13.50""",22,25,39,34.00,108,38,13.50,25.65944444,-108.6370833
71,ESC. CONTABILIDAD Y ADMINISTRACION (ECAM).,SINALOA,MAZATLÁN,"AV. DE LOS DEPORTES, CD. DE MAZATLÁN.",EDUCATIVO,400,100,"23°13'54.23""","106°25'29.67""",13,23,13,54.23,106,25,29.67,23.23173056,-106.4249083
72,ESCUELA DE TURISMO UAS.,SINALOA,MAZATLÁN,"AV. UNIVERSIDAD Y LEONISMO, COL. AEROPUERTO, CD. DE MAZATLÁN.",EDUCATIVO,100,25,"23°13'55.88""","106°25'35.23""",10,23,13,55.88,106,25,35.23,23.23218889,-106.4264528
73,INSTITUTO CULTURAL DE OCCIDENTE (ICO).,SINALOA,MAZATLÁN,"CARRETERA INTERNACIONAL # 1202 Y CIRCUNVALACIÓN, COL. JACARANDA, CD. DE MAZATLÁN.",EDUCATIVO,840,210,"23°14'55.70""","106°25'12.50""",5,23,14,55.70,106,25,12.50,23.24880556,-106.4201389
74,SALÓN CLUB DE LEONES.,SINALOA,MAZATLÁN,"AV. INSURGENTES # 1000, FRACC. FLAMINGOS, CD. DE MAZATLÁN.",EVENTOS SOCIALES,200,50,"23°14'15.79""","106°26'10.21""",8,23,14,15.79,106,26,10.21,23.23771944,-106.4361694
75,CONALEP I.,SINALOA,MAZATLÁN,"CARRET. INTERNAL SUR KM. 4, COL. AMPLIACIÓN II URIAS, CD. DE MAZATLÁN.",EDUCATIVO,250,60,"23°12'36.05""","106°21'57.23""",6,23,12,36.05,106,21,57.23,23.21001389,-106.3658972
76,ESCUELA PRIMARIA SIXTO OSUNA.,SINALOA,MAZATLÁN,"C. LIC. BENITO JUAREZ No. 211 Y 20 DE NOVIEMBRE, COL. CENTRO, POBLADO DE VILLA UNIÓN.",EDUCATIVO,200,50,"23°11'15.21""","106°13'11.71""",20,23,11,15.21,106,13,11.71,23.18755833,-106.2199194
77,FIGLOSNTE 27 CECOMA F/501 (CENTRO DE CONVENCIONES).,SINALOA,MAZATLÁN,"AV. DEL DELFIN # 60303, FRACC. MARINA, CD. DE MAZATLÁN.",EVENTOS SOCIALES,600,150,"23°17'21.11""","106°27'20.77""",5,23,17,21.11,106,27,20.77,23.28919722,-106.4557694
78,ESCUELA SECUNDARIA # 86,SINALOA,MOCORITO,"DOM. CONOCIDO, A UN COSTADO DE CANCHA DEPORTIVO, POBLADO DE CAIMANERO.",EDUCATIVO,150,37,"24°57'18.58""","107°44'57.65""",23,24,57,18.58,107,44,57.65,24.95516111,-107.7493472
79,ESCUELA TELE-SECUNDARIA 31 Y.,SINALOA,MOCORITO,"DOM. CONOCIDO, CENTRO DEL POBLADO DE ZAPOTILLO, SIND. DE MELCHOR OCAMPO.",EDUCATIVO,120,30,"25° 5'16.98""","107°50'24.65""",51,25, 5,16.98,107,50,24.65,25.08805,-107.8401806
80,CENTRO DE BACHILLERATO TECNOLÓGICO AGROPECUARIO.,SINALOA,MOCORITO,"CALLE PRINCIPAL, CARRETERA RECOVECO- CAIMANERO, POBLADO DE RECOVECO.",EDUCATIVO,120,30,"24°59'11.72""","107°43'46.58""",24,24,59,11.72,107,43,46.58,24.98658889,-107.7296056
